HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,dosage_value,dosage_unit
J2010,Lincomycin injection,300 MG,5.399,20.0,,,,,,,300.0,MG
J2020,Linezolid injection,200 MG,2.742,20.0,,,,,,,200.0,MG
J2021,"Inj, linezolid (hospira)",200 MG,21.631,20.0,,,,,,,200.0,MG
J2060,Lorazepam injection,2 MG,1.406,20.0,,,,,,,2.0,MG
J2151,"Inj, mannitol, 250 mg",250 MG,0.06,20.0,,,,,,,250.0,MG
J2175,Meperidine hydrochl /100 mg,100 MG,8.148,20.0,,,,,,,100.0,MG
J2182,"Injection, mepolizumab, 1mg",1 MG,31.885,20.0,,,,,,,1.0,MG
J2183,Inj meropenem (wg crit care),100 MG,1.572,20.0,,,,,,,100.0,MG
J2184,"Inj, meropenem (b. braun)",100 MG,2.009,10.069,,,,,,Inflation-adjusted coinsurance,100.0,MG
J2185,Meropenem,100 MG,0.383,20.0,,,,,,,100.0,MG
J2210,Methylergonovin maleate inj,0.2 MG,21.363,20.0,,,,,,,0.2,MG
J2246,"Inj, micafungin (baxter)",1 MG,0.413,20.0,,,,,,,1.0,ML
J2247,"Inj, micafungin (par pharm)",1 MG,0.219,20.0,,,,,,,1.0,MG
J2248,Micafungin sodium injection,1 MG,0.249,20.0,,,,,,,1.0,MG
J2250,Inj midazolam hydrochloride,1 MG,0.141,20.0,,,,,,,1.0,MG
J2251,Inj midazolam in 0.9% nacl,1 MG,0.176,20.0,,,,,,,1.0,MG
J2260,Inj milrinone lactate / 5 mg,5 MG,1.351,20.0,,,,,,,5.0,MG
J2267,"Inj, mirikizumab-mrkz, 1 mg",1 MG,41.916,17.364,,,,,,Inflation-adjusted coinsurance,1.0,MG
J2270,Morphine sulfate injection,10 MG,3.036,20.0,,,,,,,10.0,MG
J2272,"Inj, morphine (fresenius)",10 MG,6.771,20.0,,,,,,,10.0,MG
J2274,Inj morphine pf epid ithc,10 MG,13.495,20.0,,,,,,,10.0,MG
J2277,"Inj, motixafortide, 0.25 mg",0.25 MG,26.479,20.0,,,,,,,0.25,MG
J2278,Ziconotide injection,1 MCG,10.565,20.0,,,,,,,1.0,MCG
J2280,"Inj, moxifloxacin 100 mg",100 MG,9.156,20.0,,,,,,,100.0,MG
J2281,Inj moxifloxacin (fres kabi),100 MG,6.641,20.0,,,,,,,100.0,MG
J2290,"Inj, nafcillin sodium, 20 mg",20 MG,0.062,20.0,,,,,,,20.0,MG
J2291,"Inj, nafcillin (baxter) 20mg",20 MG,0.15,20.0,,,,,,,20.0,MG
J2300,Inj nalbuphine hydrochloride,10 MG,3.447,20.0,,,,,,,10.0,MG
J2305,"Inj, nitroglycerin, 5 mg",5 MG,1.523,20.0,,,,,,,5.0,MG
J2312,"Inj naloxone hcl nos, 0.01mg",0.01 MG,0.065,20.0,,,,,,,0.01,MG
J2313,"Inj, naloxone (zimhi) 0.01mg",0.01 MG,0.015,20.0,,,,,,,0.01,MG
J2315,"Naltrexone, depot form",1 MG,4.244,19.997,,,,,,Inflation-adjusted coinsurance,1.0,MG
J2323,Natalizumab injection,1 MG,24.512,20.0,,,,,,,1.0,MG
J2327,Inj risankizumab-rzaa 1 mg,1 MG,14.932,20.0,,,,,,,1.0,MG
J2329,"Inj ublituximab-xiiy, 1 mg",1 MG,70.184,20.0,,,,,,,1.0,MG
J2350,"Injection, ocrelizumab, 1 mg",1 MG,59.324,20.0,,,,,,,1.0,MG
J2351,Inj ocrelizumab 1mg hya-ocsq,1 MG,47.045,19.659,,,,,,Inflation-adjusted coinsurance,1.0,MG
J2353,"Octreotide injection, depot",1 MG,199.17,20.0,,,,,,,1.0,MG
J2354,"Octreotide inj, non-depot",25 MCG,0.658,20.0,,,,,,,25.0,MCG
J2356,"Inj tezepelumab-ekko, 1mg",1 MG,17.822,20.0,,,,,,"""lesser of"" methodology applied",1.0,MG
J2357,Omalizumab injection,5 MG,45.499,20.0,,,,,,"""lesser of"" methodology applied",5.0,MG
J2358,Olanzapine long-acting inj,1 MG,3.158,20.0,,,,,,,1.0,MG
J2359,"Inj. olanzapine, 0.5mg",0.5 MG,0.806,20.0,,,,,,,0.5,MG
J2360,Orphenadrine injection,60 MG,6.39,20.0,,,,,,,1.0,ML
J2371,Inj phenylephrine hcl 20 mcg,20 MCG,0.002,20.0,,,,,,,20.0,MCG
J2372,"Inj, biorphen, 20 micrograms",20 MCG,0.163,20.0,,,,,,,20.0,MCG
J2373,"Inj, immphentiv, 20 mcg",20 MCG,0.136,20.0,,,,,,,20.0,MCG
J2401,Chloroprocaine hcl injection,1 MG,0.038,20.0,,,,,,,1.0,MG
J2403,"Chloroprocaine opht gel, 1mg",1 MG,0.58,20.0,,,,,,,1.0,MG
